sample_id,material,E_eff_MPa,sigma_y_MPa,source,measured_porosity,relative_density,porosity_pct,mat_key,E_s,E_norm
HIG_01TS55_01_20220609,HIG,224.3315920990688,10.696220062099803,Experimental,30.478926329548717,0.6952107367045128,,HIG,,
GPR_02TS75_03_20220211,GPR,152.25323464966306,5.769129232603395,Experimental,65.06232222900627,0.34937677770993725,,GPR,1916.9,0.07942680090232304
HTC_01TS85_01_20220607,HTC,55.52442568984172,2.2067640312849695,Experimental,78.63524537096983,0.2136475462903017,,HTC,,
WHT_01TS75_02_20220303,WHT,156.97177205109224,4.464826054981673,Experimental,67.71554527715547,0.32284454722844524,,HEC,1001.5,0.15673666705051648
EGS_01TS65_03_20220301,EGS,28.8059338969415,3.506374784623575,Experimental,58.05756385369062,0.4194243614630938,,EGS,,
T20_02TS85_02_20220215,T20,40.79218485853091,0.8453902889289854,Experimental,83.67897677360413,0.1632102322639587,,HTB,1291.4,0.03158756764637673
M12_01TS70_01_20220607,M12,66.9787803020303,3.657692650609141,Experimental,55.85883306573556,0.4414116693426444,,M12,,
HTB_01TS75_03_20220609,HTB,20.934698691323003,0.8526017544366655,Experimental,87.47823520731886,0.12521764792681145,,HTB,1291.4,0.016210855421498374
WHT_01TS65_02_20220303,WHT,242.35063051005676,7.078448366234259,Experimental,60.673556406735585,0.39326443593264415,,HEC,1001.5,0.241987649036502
M12_01TS65_02_20220607,M12,91.62526418380061,5.196484013912454,Experimental,45.89795950180046,0.5410204049819954,,M12,,
HIC_01TS55_02_20220608,HIC,164.47800879044362,7.47793206565801,Experimental,30.092592592592602,0.699074074074074,,HIC,873.9,0.1882114759016405
HEC_01TS60_03_20220609,HEC,142.26281977799565,6.208346621534813,Experimental,37.24343429540517,0.6275656570459482,,HEC,1001.5,0.14204974516025526
HTC_01TS70_02_20220607,HTC,164.65526025093547,5.906664485159795,Experimental,61.832621174845684,0.3816737882515432,,HTC,,
DUR_02TS70_03_20220215,DUR,60.850180878864215,3.726252774053887,Experimental,65.70614626417738,0.3429385373582262,,DUR,,
DFT_01TS55_01_20220303,DFT,200.20016149601207,7.515266925270512,Experimental,47.05620046318272,0.5294379953681728,,DFT,,
EGS_01TS70_02_20220301,EGS,15.331992257035381,2.711805690308257,Experimental,61.3637405805298,0.386362594194702,,EGS,,
ERB_01TS75_01_20220221,ERB,30.826615905592863,2.4189064014312978,Experimental,70.92467594528404,0.2907532405471597,,ERB,,
WHT_01TS60_01_20220303,WHT,301.7134585578519,7.705628783439551,Experimental,52.660258726602606,0.47339741273397395,,HEC,1001.5,0.30126156620853906
HEB_01TS80_01_20220607,HEB,12.94576800281199,1.4798613681070043,Experimental,76.0065169032177,0.23993483096782298,,HEB,,
HIC_01TS80_03_20220609,HIC,23.519771098903906,1.4092321526896852,Experimental,81.66666666666667,0.18333333333333324,,HIC,873.9,0.02691357260430702
T15_01TS85_01_20220303,T15,30.72610407170416,1.4158552437781962,Experimental,80.03828596672065,0.19961714033279354,,T15,,
GPR_01TS65_01_20220110,GPR,211.56568413999088,6.081114194969107,Experimental,60.50542806510699,0.3949457193489301,,GPR,1916.9,0.11036865988835666
RGD_02TS85_02_20220215,RGD,129.60717562911174,1.9684207181891746,Experimental,78.72332270819626,0.21276677291803736,,RGD,,
DFT_01TS70_03_20220303,DFT,121.68803977652135,4.759442031799355,Experimental,63.26040363066214,0.36739596369337857,,DFT,,
DUR_02TS80_03_20220215,DUR,38.12434244640581,2.4944881617187944,Experimental,79.97912905707516,0.2002087094292484,,DUR,,
M13_01TS70_01_20220221,M13,171.72899053796348,7.440463907736379,Experimental,53.60324374839847,0.46396756251601534,,M13,,
GPR_01TS85_01_20220110,GPR,72.46705375648027,2.338789260617596,Experimental,80.78807463775668,0.1921192536224332,,GPR,1916.9,0.037804295350034045
BMA_02TS75_02_20220216,BMA,176.06726633983706,5.619904204038174,Experimental,69.52093405438458,0.30479065945615413,,GPR,1916.9,0.09185000069896034
WHT_01TS85_01_20220303,WHT,57.59281285638318,1.5196703414775157,Experimental,78.13543398135437,0.21864566018645637,,HEC,1001.5,0.05750655302684292
T15_01TS55_03_20220303,T15,152.02592135905792,7.951690986072035,Experimental,49.40656751582978,0.5059343248417022,,T15,,
GPR_02TS80_03_20220211,GPR,119.16744402585236,4.403762207500661,Experimental,71.9780792542181,0.28021920745781903,,GPR,1916.9,0.062166750496036496
M13_01TS60_01_20220221,M13,240.4443986258837,11.212330607639425,Experimental,42.74151003120148,0.5725848996879852,,M13,,
HIC_01TS60_03_20220609,HIC,145.5770794317318,7.116255976125306,Experimental,33.75925925925928,0.6624074074074071,,HIC,873.9,0.1665832239749763
HEB_01TS75_01_20220607,HEB,39.313910834810535,3.7974796731852445,Experimental,72.57574333427328,0.2742425666572672,,HEB,,
EGS_01TS80_03_20220301,EGS,5.670690083187391,1.3428640308932358,Experimental,71.69038411567799,0.28309615884322015,,EGS,,
WHT_01TS55_01_20220303,WHT,355.38538936263205,9.849015944761918,Experimental,48.04220568042206,0.5195779431957794,,HEC,1001.5,0.3548531096980849
HTB_01TS65_03_20220609,HTB,86.25979658583667,3.994089822136345,Experimental,69.19138261767743,0.3080861738232257,,HTB,1291.4,0.06679556805469775
ERB_01TS75_03_20220221,ERB,27.529475241940656,2.208257026314214,Experimental,71.8117197300042,0.281882802699958,,ERB,,
M13_01TS80_02_20220221,M13,104.1085966012309,4.408426838816494,Experimental,64.003738148712,0.3599626185128799,,M13,,
HEC_01TS70_02_20220608,HEC,67.51890257758764,3.630883500394923,Experimental,52.23558873409095,0.47764411265909046,,HEC,1001.5,0.06741777591371706
HTC_01TS80_01_20220607,HTC,56.66410180976379,1.9909656716842368,Experimental,72.30350899909361,0.27696491000906387,,HTC,,
BMC_02TS85_02_20220221,BMC,72.09624546899538,2.6150486571272626,Experimental,74.4507400555042,0.25549259944495806,,BMC,,
